Developmental and child psychology,197.0,182.0,191.0,218.0,205.0,227.0,245.0,190.0,236.0,201.0,Psychology,Psychology and social sciences
Educational psychology (psychology),69.0,73.0,70.0,62.0,67.0,60.0,65.0,60.0,108.0,139.0,Psychology,Psychology and social sciences
Experimental psychology,137.0,145.0,142.0,147.0,134.0,141.0,143.0,144.0,144.0,159.0,Psychology,Psychology and social sciences
Family psychology,42.0,34.0,45.0,33.0,41.0,33.0,41.0,55.0,12.0,5.0,Psychology,Psychology and social sciences
"Health, medical psychology",na,na,na,na,46.0,65.0,80.0,102.0,53.0,62.0,Psychology,Psychology and social sciences
Human development and family studies,121.0,146.0,145.0,145.0,136.0,138.0,141.0,134.0,191.0,206.0,Psychology,Psychology and social sciences
Industrial and organizational psychology,215.0,196.0,207.0,200.0,222.0,214.0,203.0,221.0,217.0,191.0,Psychology,Psychology and social sciences
"Marriage and family therapy, counseling",na,na,na,na,na,na,na,na,77.0,74.0,Psychology,Psychology and social sciences
"Neuropsychology, physiological psychologyi",81.0,87.0,82.0,77.0,101.0,112.0,122.0,130.0,69.0,42.0,Psychology,Psychology and social sciences
Personality psychology,18.0,19.0,22.0,23.0,20.0,15.0,21.0,21.0,23.0,16.0,Psychology,Psychology and social sciences
Psychometrics and quantitative psychology,23.0,29.0,36.0,35.0,34.0,44.0,33.0,48.0,49.0,51.0,Psychology,Psychology and social sciences
School psychology (psychology),132.0,122.0,107.0,110.0,118.0,114.0,110.0,116.0,128.0,372.0,Psychology,Psychology and social sciences
Social psychology,204.0,226.0,210.0,228.0,246.0,211.0,242.0,220.0,219.0,213.0,Psychology,Psychology and social sciences
"Psychology, general",198.0,209.0,185.0,228.0,220.0,229.0,275.0,290.0,298.0,140.0,Psychology,Psychology and social sciences
"Psychology, other",166.0,183.0,200.0,210.0,146.0,151.0,153.0,172.0,150.0,214.0,Psychology,Psychology and social sciences
Social sciences,4278.0,4473.0,4462.0,4645.0,4899.0,4988.0,5027.0,5302.0,5129.0,5119.0,Psychology,Psychology and social sciences
"Anthropology, cultural",na,na,na,na,na,na,267.0,317.0,290.0,261.0,Anthropology,Psychology and social sciences
"Anthropology, generalj",483.0,503.0,507.0,553.0,547.0,550.0,185.0,99.0,90.0,110.0,Anthropology,Psychology and social sciences
"Anthropology, physical and biological",na,na,na,na,na,na,72.0,76.0,80.0,84.0,Anthropology,Psychology and social sciences
Econometrics,36.0,31.0,34.0,28.0,40.0,48.0,46.0,40.0,38.0,23.0,Economics,Psychology and social sciences
Natural resources and environmental economics (social sciences),na,na,na,na,48.0,49.0,49.0,47.0,59.0,53.0,Economics,Psychology and social sciences
Other economics,1055.0,1087.0,1039.0,1093.0,1155.0,1086.0,1100.0,1168.0,1139.0,1161.0,Economics,Psychology and social sciences
"American, U.S. studies",121.0,116.0,115.0,132.0,121.0,122.0,121.0,130.0,111.0,97.0,Other social sciences,Psychology and social sciences
